code, stationname, lat, long
(None, None, None, None)
(u'1011', u'Savila', 60.18505555555555, 24.928055555555556)
(u'1012', u'Kulosaari', 60.18897222222222, 25.015777777777778)
(u'1013', u'Katajanokka', 60.167027777777776, 24.961055555555557)
(u'1014', u'Siltavuori', 60.176027777777776, 24.959694444444445)
(u'1015', u'N\xe4kinkuja', 60.17827777777777, 24.957055555555552)
(u'1016', u'Etel\xe4satama', 60.16263888888889, 24.956194444444442)
(u'1017', u'Hanasaari', 60.18405555555555, 24.97236111111111)
(u'1018', u'Porthaninrinne', 60.18069444444444, 24.948166666666665)
(u'1019', u'Purjehtijankuja', 60.187777777777775, 25.00058333333333)
(u'1020', u'Suutarila', 60.28711111111111, 25.01188888888889)
(u'1021', u'Siltam\xe4ki', 60.26530555555556, 24.97758333333333)
(u'1022', u'Palohein\xe4', 60.25688888888889, 24.93922222222222)
(u'1023', u'Pukinm\xe4ki', 60.25133333333333, 24.97819444444444)
(u'1024', u'Ala-Tikkurila', 60.28227777777778, 25.02561111111111)
(u'1025', u'Jakom\xe4ki', 60.25802777777778, 25.083777777777776)
(u'1026', u'Puistola', 60.26686111111111, 25.03677777777778)
(u'1027', u'Tapanila', 60.255805555555554, 25.021277777777776)
(u'1028', u'Malmi', 60.2495, 25.029527777777776)
(u'1031', u'Keravanjoki', 60.279666666666664, 24.999083333333335)
(u'1033', u'Vuosaari P5', 60.22222222222222, 25.17888888888889)
(u'1036', u'Mellunm\xe4ki', 60.23588888888889, 25.12875)
(u'1037', u'Neulastie', 60.251583333333336, 24.848055555555554)
(u'1038', u'Rastila', 60.20975000000001, 25.122888888888887)
(u'1039', u'Lassila', 60.22775, 24.875888888888888)
(u'1040', u'H\xe4sselby', 60.18416666666666, 25.016055555555557)
(u'1041', u'Seurasaarentie', 60.18761111111111, 24.901944444444442)
(u'1042', u'Sompasaari', 60.181472222222226, 24.975388888888887)
(u'1043', u'Marjaniemi', 60.20469444444445, 25.09463888888889)
(u'1045', u'Tammisalo', 60.191916666666664, 25.060055555555557)
(u'1046', u'P\xe4\xe4tie', 60.1735, 25.02086111111111)
(u'1047', u'Yl\xe4fallintie', 60.263, 24.9505)
(u'1050', u'Kuusisaarentie', 60.18336111111111, 24.85586111111111)
(u'1051', u'Kuusiniementie', 60.187805555555556, 24.868111111111112)
(u'1052', u'Munkkiniemenaukio', 60.19611111111111, 24.884944444444447)
(u'1053', u'Munkkiniemenranta', 60.19777777777777, 24.866944444444446)
(u'1054', u'Maununneva', 60.250055555555555, 24.904444444444444)
(u'1056', u'Kaitalahdentie', 60.17522222222222, 25.019805555555553)
(u'1057', u'Meilahti', 60.19094444444444, 24.883194444444445)
(u'1058', u'R\xe4lssitie', 60.24013888888889, 24.98363888888889)
(u'1059', u'Luoteisv\xe4yl\xe4', 60.16825, 24.859222222222222)
(u'1060', u'Sotkakuja', 60.16211111111111, 24.85613888888889)
(u'1061', u'Heporauta', 60.15772222222222, 24.873777777777775)
(u'1062', u'Nahkahousu', 60.14988888888889, 24.8765)
(u'1063', u'Lauttasaarentie', 60.16191666666666, 24.893638888888887)
(u'1064', u'Fallpakka', 60.22925000000001, 25.1325)
(u'1065', u'Laajasalo', 60.16894444444444, 25.053611111111113)
(u'1066', u'Yliskyl\xe4', 60.18358333333333, 25.04855555555556)
(u'1067', u'Savela', 60.23902777777778, 24.992305555555557)
(u'1068', u'Kivikko', 60.237611111111114, 25.04630555555556)
(u'1069', u'M\xe4ntym\xe4ki', 60.18497222222222, 24.928194444444443)
(u'1072', u'Korkeasaari 1', 60.17536111111111, 24.98008333333333)
(u'1073', u'Korkeasaari 2', 60.17661111111111, 24.98622222222222)
(u'1074', u'Mustikkamaa', 60.18244444444444, 24.990805555555557)
(u'1075', u'Kalasatama', 60.19061111111111, 24.980638888888887)
(u'1076', u'Yhdysranta', 60.194694444444444, 25.111944444444447)
(u'1077', u'Vuoranta', 60.195972222222224, 25.12102777777778)
(u'1078', u'Kallalahti', 60.1996111111111, 25.131277777777775)
(u'1079', u'L\xe4hdelahti', 60.19138888888889, 25.136055555555558)
(u'1080', u'Ramsinkannas', 60.195138888888884, 25.10625)
(u'1081', u'Kaskisaari', 60.17230555555555, 24.86127777777778)
